,site_location,Math_PercentConfluent,Metadata_site,Metadata_Well,Metadata_Site,Metadata_Plate
0,4,1.7225288086399362,CP186A-Well1-4,Well1,4,CP186A
1,14,0.7205130026219776,CP186D-Well1-14,Well1,14,CP186D
2,16,1.0835319090294415,CP186B-Well1-16,Well1,16,CP186B
3,18,2.990452979642121,CP186A-Well4-18,Well4,18,CP186A
4,24,1.2368566755102006,CP186D-Well1-24,Well1,24,CP186D
5,35,0.7336544917809894,CP186E-Well6-35,Well6,35,CP186E
6,45,0.7456661800631462,CP186A-Well4-45,Well4,45,CP186A
7,45,1.0851811599829224,CP186E-Well4-45,Well4,45,CP186E
8,48,1.1499373589840107,CP186G-Well2-48,Well2,48,CP186G
9,48,1.4744131900714377,CP186H-Well4-48,Well4,48,CP186H
10,48,1.053912446073878,CP186A-Well4-48,Well4,48,CP186A
11,50,0.7827624368317818,CP186A-Well2-50,Well2,50,CP186A
12,50,1.894931309866304,CP186G-Well5-50,Well5,50,CP186G
13,52,3.746939131324273,CP186F-Well3-52,Well3,52,CP186F
14,52,1.2791639392621366,CP186A-Well5-52,Well5,52,CP186A
15,53,0.835613800127964,CP186A-Well5-53,Well5,53,CP186A
16,53,1.2636301756438977,CP186B-Well4-53,Well4,53,CP186B
17,54,2.936623565835003,CP186A-Well4-54,Well4,54,CP186A
18,55,0.7317272178555365,CP186E-Well6-55,Well6,55,CP186E
19,56,1.590440394657229,CP186C-Well5-56,Well5,56,CP186C
20,56,1.7642982570662569,CP186B-Well6-56,Well6,56,CP186B
21,57,0.7760038091153829,CP186E-Well1-57,Well1,57,CP186E
22,62,0.7835388841531356,CP186B-Well1-62,Well1,62,CP186B
23,67,2.513691387128939,CP186E-Well1-67,Well1,67,CP186E
24,70,0.924385628602854,CP186G-Well4-70,Well4,70,CP186G
25,74,2.324926331390256,CP186C-Well4-74,Well4,74,CP186C
26,76,2.008416242372611,CP186G-Well3-76,Well3,76,CP186G
27,76,1.0612670187138271,CP186E-Well1-76,Well1,76,CP186E
28,76,1.676402803474218,CP186C-Well1-76,Well1,76,CP186C
29,83,1.6285010226998968,CP186B-Well6-83,Well6,83,CP186B
30,85,1.3578937912954374,CP186E-Well3-85,Well3,85,CP186E
31,86,3.208200718281616,CP186G-Well6-86,Well6,86,CP186G
32,93,100.0,CP186C-Well6-93,Well6,93,CP186C
33,94,1.6085558274328695,CP186A-Well5-94,Well5,94,CP186A
34,96,2.9520361808163567,CP186E-Well4-96,Well4,96,CP186E
